Index,x_m,y_m,
707,1.28E-05,-1.36E-05,
708,1.32E-05,-1.31E-05,
709,1.37E-05,-1.26E-05,
710,1.41E-05,-1.21E-05,
711,1.46E-05,-1.16E-05,
712,1.50E-05,-1.11E-05,
713,1.55E-05,-1.06E-05,
714,1.59E-05,-1.01E-05,
715,1.63E-05,-9.55E-06,
716,1.66E-05,-8.94E-06,
717,1.69E-05,-8.33E-06,
718,1.72E-05,-7.71E-06,
719,1.75E-05,-7.10E-06,
720,1.78E-05,-6.49E-06,
721,1.81E-05,-5.87E-06,
722,1.83E-05,-5.25E-06,
723,1.85E-05,-4.59E-06,
724,1.86E-05,-3.91E-06,
725,1.87E-05,-3.24E-06,
726,1.88E-05,-2.56E-06,
727,1.90E-05,-1.88E-06,
728,1.91E-05,-1.20E-06,
729,1.92E-05,-5.17E-07,
730,1.93E-05,1.64E-07,
731,1.92E-05,8.52E-07,
732,1.92E-05,1.54E-06,
733,1.91E-05,2.23E-06,
734,1.90E-05,2.92E-06,
735,1.89E-05,3.61E-06,
736,1.88E-05,4.31E-06,
737,1.87E-05,5.00E-06,
738,1.86E-05,5.68E-06,
739,1.84E-05,6.34E-06,
740,1.81E-05,6.98E-06,
741,1.78E-05,7.63E-06,
742,1.76E-05,8.28E-06,
743,1.73E-05,8.92E-06,
744,1.70E-05,9.57E-06,
745,1.67E-05,1.02E-05,
746,1.64E-05,1.08E-05,
747,1.60E-05,1.14E-05,
748,1.55E-05,1.19E-05,
749,1.51E-05,1.25E-05,
750,1.46E-05,1.30E-05,
751,1.42E-05,1.36E-05,
752,1.37E-05,1.41E-05,
753,1.33E-05,1.47E-05,
754,1.28E-05,1.52E-05,
755,1.22E-05,1.56E-05,
756,1.16E-05,1.60E-05,
757,1.10E-05,1.64E-05,
758,1.04E-05,1.68E-05,
759,9.86E-06,1.72E-05,
760,9.27E-06,1.77E-05,
761,8.68E-06,1.81E-05,
762,8.03E-06,1.84E-05,
763,7.35E-06,1.86E-05,
764,6.67E-06,1.88E-05,
765,5.98E-06,1.91E-05,
766,5.30E-06,1.93E-05,
767,4.62E-06,1.95E-05,
768,3.93E-06,1.98E-05,
769,3.24E-06,2.00E-05,
770,2.52E-06,2.00E-05,
771,1.79E-06,2.01E-05,
772,1.06E-06,2.01E-05,
773,3.31E-07,2.02E-05,
774,-3.97E-07,2.02E-05,
775,-1.13E-06,2.03E-05,
776,-1.85E-06,2.03E-05,
777,-2.58E-06,2.03E-05,
