Index,x_m,y_m
544,-5.00E-05,2.17E-05
545,-5.16E-05,1.79E-05
546,-5.28E-05,1.39E-05
547,-5.38E-05,9.86E-06
548,-5.44E-05,5.77E-06
549,-5.47E-05,1.65E-06
550,-5.47E-05,-2.48E-06
551,-5.44E-05,-6.62E-06
552,-5.38E-05,-1.07E-05
553,-5.29E-05,-1.48E-05
554,-5.17E-05,-1.87E-05
555,-5.02E-05,-2.26E-05
556,-4.85E-05,-2.63E-05
557,-4.64E-05,-2.99E-05
558,-4.40E-05,-3.33E-05
559,-4.14E-05,-3.65E-05
560,-3.85E-05,-3.96E-05
561,-3.55E-05,-4.24E-05
562,-3.23E-05,-4.50E-05
563,-2.89E-05,-4.73E-05
564,-2.53E-05,-4.94E-05
565,-2.16E-05,-5.12E-05
566,-1.77E-05,-5.27E-05
567,-1.38E-05,-5.39E-05
568,-9.75E-06,-5.48E-05
569,-5.65E-06,-5.54E-05
570,-1.51E-06,-5.57E-05
571,2.63E-06,-5.57E-05
572,6.75E-06,-5.54E-05
573,1.08E-05,-5.49E-05
574,1.49E-05,-5.40E-05
575,1.89E-05,-5.28E-05
576,2.27E-05,-5.13E-05
577,2.64E-05,-4.95E-05
578,3.00E-05,-4.74E-05
579,3.34E-05,-4.52E-05
580,3.67E-05,-4.26E-05
581,3.98E-05,-3.99E-05
582,4.27E-05,-3.69E-05
583,4.53E-05,-3.37E-05
584,4.77E-05,-3.03E-05
585,4.98E-05,-2.67E-05
586,5.16E-05,-2.30E-05
587,5.32E-05,-1.92E-05
588,5.45E-05,-1.53E-05
589,5.56E-05,-1.13E-05
590,5.64E-05,-7.20E-06
591,5.68E-05,-3.08E-06
592,5.69E-05,1.08E-06
593,5.66E-05,5.21E-06
594,5.62E-05,9.30E-06
595,5.54E-05,1.33E-05
596,5.43E-05,1.73E-05
597,5.30E-05,2.13E-05
598,5.14E-05,2.51E-05
599,4.95E-05,2.88E-05
600,4.73E-05,3.23E-05
601,4.48E-05,3.57E-05
602,4.22E-05,3.88E-05
603,3.93E-05,4.18E-05
604,3.63E-05,4.46E-05
605,3.30E-05,4.72E-05
606,2.96E-05,4.94E-05
607,2.60E-05,5.14E-05
608,2.22E-05,5.32E-05
609,1.83E-05,5.47E-05
610,1.44E-05,5.59E-05
611,1.03E-05,5.69E-05
612,6.26E-06,5.76E-05
613,2.15E-06,5.79E-05
614,-2.01E-06,5.79E-05
615,-6.15E-06,5.76E-05
616,-1.03E-05,5.71E-05
617,-1.43E-05,5.63E-05
618,-1.83E-05,5.52E-05
619,-2.22E-05,5.38E-05
620,-2.60E-05,5.21E-05
621,-2.96E-05,5.01E-05
622,-3.31E-05,4.79E-05
623,-3.65E-05,4.55E-05
624,-3.97E-05,4.29E-05
625,-4.27E-05,4.00E-05
626,-4.54E-05,3.69E-05
627,-4.79E-05,3.36E-05
628,-5.02E-05,3.01E-05
629,-5.23E-05,2.65E-05
630,-5.40E-05,2.28E-05
631,-5.56E-05,1.90E-05
632,-5.68E-05,1.50E-05
633,-5.78E-05,1.10E-05
634,-5.84E-05,6.90E-06
635,-5.88E-05,2.77E-06
636,-5.89E-05,-1.39E-06
637,-5.88E-05,-5.51E-06
638,-5.83E-05,-9.61E-06
639,-5.75E-05,-1.37E-05
640,-5.64E-05,-1.77E-05
641,-5.51E-05,-2.16E-05
642,-5.35E-05,-2.54E-05
643,-5.17E-05,-2.91E-05
644,-4.95E-05,-3.27E-05
645,-4.72E-05,-3.61E-05
646,-4.46E-05,-3.93E-05
647,-4.18E-05,-4.23E-05
648,-3.87E-05,-4.52E-05
649,-3.55E-05,-4.78E-05
650,-3.21E-05,-5.03E-05
651,-2.86E-05,-5.24E-05
652,-2.49E-05,-5.43E-05
653,-2.11E-05,-5.59E-05
654,-1.72E-05,-5.73E-05
655,-1.32E-05,-5.84E-05
656,-9.16E-06,-5.92E-05
657,-5.00E-06,-5.98E-05
658,-8.44E-07,-6.00E-05
659,3.31E-06,-5.99E-05
660,7.44E-06,-5.96E-05
661,1.15E-05,-5.91E-05
662,1.56E-05,-5.82E-05
663,1.96E-05,-5.70E-05
664,2.34E-05,-5.56E-05
665,2.72E-05,-5.39E-05
666,3.08E-05,-5.20E-05
667,3.44E-05,-4.98E-05
668,3.77E-05,-4.73E-05
669,4.09E-05,-4.47E-05
670,4.38E-05,-4.18E-05
671,4.66E-05,-3.87E-05
672,4.92E-05,-3.55E-05
673,5.16E-05,-3.21E-05
674,5.37E-05,-2.85E-05
675,5.55E-05,-2.48E-05
676,5.71E-05,-2.09E-05
677,5.85E-05,-1.70E-05
678,5.95E-05,-1.30E-05
679,6.03E-05,-8.99E-06
680,6.08E-05,-4.88E-06
681,6.10E-05,-7.36E-07
682,6.10E-05,3.43E-06
683,6.07E-05,7.57E-06
684,6.01E-05,1.17E-05
685,5.92E-05,1.57E-05
686,5.80E-05,1.97E-05
687,5.66E-05,2.36E-05
688,5.50E-05,2.74E-05
689,5.30E-05,3.10E-05
690,5.08E-05,3.46E-05
691,4.84E-05,3.79E-05
692,4.58E-05,4.11E-05
693,4.29E-05,4.42E-05
694,3.99E-05,4.70E-05
695,3.66E-05,4.96E-05
696,3.32E-05,5.20E-05
697,2.97E-05,5.42E-05
698,2.60E-05,5.61E-05
699,2.22E-05,5.78E-05
700,1.83E-05,5.91E-05
701,1.44E-05,6.03E-05
702,1.03E-05,6.11E-05
703,6.24E-06,6.18E-05
704,2.12E-06,6.21E-05
705,-2.04E-06,6.21E-05
706,-6.19E-06,6.18E-05
707,-1.03E-05,6.14E-05
708,-1.44E-05,6.06E-05
709,-1.84E-05,5.96E-05
710,-2.23E-05,5.82E-05
711,-2.62E-05,5.66E-05
712,-2.99E-05,5.48E-05
713,-3.35E-05,5.28E-05
714,-3.70E-05,5.05E-05
715,-4.02E-05,4.79E-05
716,-4.33E-05,4.52E-05
717,-4.63E-05,4.23E-05
718,-4.90E-05,3.92E-05
719,-5.15E-05,3.59E-05
720,-5.38E-05,3.24E-05
721,-5.59E-05,2.88E-05
722,-5.77E-05,2.51E-05
723,-5.93E-05,2.13E-05
724,-6.06E-05,1.73E-05
725,-6.16E-05,1.33E-05
726,-6.24E-05,9.24E-06
727,-6.29E-05,5.13E-06
728,-6.32E-05,9.78E-07
729,-6.31E-05,-3.18E-06
730,-6.28E-05,-7.33E-06
731,-6.23E-05,-1.15E-05
732,-6.15E-05,-1.56E-05
733,-6.03E-05,-1.96E-05
734,-5.89E-05,-2.35E-05
735,-5.73E-05,-2.73E-05
736,-5.55E-05,-3.10E-05
737,-5.34E-05,-3.46E-05
738,-5.10E-05,-3.80E-05
739,-4.84E-05,-4.13E-05
